title,run_id,issue_number,run_status,collection_status,format,story,metadata_arc,story_title,part_label,metadata_role,metadata_notes,metadata_source_url,metadata_status,metadata_source,reading_order,source_tab,source_row,comic,notes,missing_reason
Detective Comics,detective_568_741,720,absent_from_sheet,,,,Batman: Cataclysm,,core,core,,https://en.wikipedia.org/wiki/Batman%3A_Cataclysm,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,721,absent_from_sheet,,,,Batman: Cataclysm,,core,core,,https://en.wikipedia.org/wiki/Batman%3A_Cataclysm,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,722,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,723,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,724,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,725,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,726,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,727,absent_from_sheet,,,,Road to No Man's Land,,Volume 2,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,728,absent_from_sheet,,,,Road to No Man's Land,,Volume 2,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,729,absent_from_sheet,,,,Road to No Man's Land,,Volume 2,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,730,absent_from_sheet,,,,Batman: No Man's Land,,Volume 1,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
