title,run_id,issue_number,run_status,collection_status,format,story,metadata_arc,story_title,part_label,metadata_role,metadata_notes,metadata_source_url,metadata_status,metadata_source,reading_order,source_tab,source_row,comic,notes
Batman,batman_404_574,514,owned,Yes,Original/Reprint Unknown,Knightsend,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight118,Batman,138,Batman #514,
Batman,batman_404_574,515,owned,Yes,Original/Reprint Unknown,Knightsend,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight122,Batman,142,Batman #515,
Batman,batman_404_574,516,owned,Yes,Original/Reprint Unknown,Sleeper,Sleeper,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,282,Batman #516,
Batman,batman_404_574,517,owned,Yes,Original/Reprint Unknown,Sleeper,Sleeper,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,283,Batman #517,
Batman,batman_404_574,518,owned,Yes,Original/Reprint Unknown,Blackmask,Blackmask,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,284,Batman #518,
Batman,batman_404_574,519,owned,Yes,Original/Reprint Unknown,Blackmask,Blackmask,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,285,Batman #519,
Batman,batman_404_574,520,owned,Yes,Original/Reprint Unknown,Blackmask,Blackmask,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,286,Batman #520,
Batman,batman_404_574,521,owned,Yes,Original/Reprint Unknown,Killer Croc,Killer Croc,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,287,Batman #521,
Batman,batman_404_574,522,owned,Yes,Original/Reprint Unknown,Killer Croc,Killer Croc,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,288,Batman #522,
Batman,batman_404_574,523,owned,Yes,Original/Reprint Unknown,Scarecrow,Scarecrow,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,289,Batman #523,
Batman,batman_404_574,524,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,525,owned,Yes,Original/Reprint Unknown,Frozen Assets,Frozen Assets,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,290,Batman #525,
Batman,batman_404_574,526,owned,Yes,Original/Reprint Unknown,Constant Whitewater,Constant Whitewater,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,291,Batman #526,
Batman,batman_404_574,527,owned,Yes,Original/Reprint Unknown,Two-Face,Two-Face,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,292,Batman #527,
Batman,batman_404_574,528,owned,Yes,Original/Reprint Unknown,Two-Face,Two-Face,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,293,Batman #528,
Batman,batman_404_574,529,owned,Yes,Original/Reprint Unknown,Contagion,Batman: Contagion,Tears of Blood,core,core,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,confirmed,issue_metadata.csv,ZZ,Batman,294,Batman #529,
Batman,batman_404_574,530,owned,Yes,Original/Reprint Unknown,TBC,Batman: Contagion,,expanded,expanded,Listed in broader Contagion title range; review whether you want it in the core run.,https://en.wikipedia.org/wiki/Batman%3A_Contagion,confirmed,issue_metadata.csv,ZZ,Batman,295,Batman #530,
Batman,batman_404_574,531,owned,Yes,Original/Reprint Unknown,TBC,Batman: Contagion,,expanded,expanded,Listed in broader Contagion title range; review whether you want it in the core run.,https://en.wikipedia.org/wiki/Batman%3A_Contagion,confirmed,issue_metadata.csv,ZZ,Batman,296,Batman #531,
Batman,batman_404_574,532,owned,Yes,Original/Reprint Unknown,TBC,Batman: Contagion,,expanded,expanded,Listed in broader Contagion title range; review whether you want it in the core run.,https://en.wikipedia.org/wiki/Batman%3A_Contagion,confirmed,issue_metadata.csv,ZZ,Batman,297,Batman #532,
Batman,batman_404_574,533,owned,Yes,Original/Reprint Unknown,Legacy,Batman: Legacy,,Prelude,prelude,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,confirmed,issue_metadata.csv,Legacy09,Batman,158,Batman #533,
Batman,batman_404_574,534,owned,Yes,Original/Reprint Unknown,Legacy,Batman: Legacy,,Part 5,core,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,confirmed,issue_metadata.csv,Legacy14,Batman,163,Batman #534,
Batman,batman_404_574,535,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,298,Batman #535,
Batman,batman_404_574,536,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,537,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,299,Batman #537,
Batman,batman_404_574,538,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,300,Batman #538,
Batman,batman_404_574,539,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,301,Batman #539,
Batman,batman_404_574,540,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,541,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,302,Batman #541,
Batman,batman_404_574,542,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,303,Batman #542,
Batman,batman_404_574,543,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,304,Batman #543,
Batman,batman_404_574,544,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,305,Batman #544,
Batman,batman_404_574,545,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,306,Batman #545,
Batman,batman_404_574,546,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,547,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,548,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,307,Batman #548,
Batman,batman_404_574,549,owned,Yes,Original/Reprint Unknown,TBC,,,,,,,,,ZZ,Batman,308,Batman #549,
Batman,batman_404_574,550,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,551,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,552,absent_from_sheet,,,,,,,,,,,,,,,,
Batman,batman_404_574,553,absent_from_sheet,,,,Batman: Cataclysm,,core,core,,https://en.wikipedia.org/wiki/Batman%3A_Cataclysm,confirmed,issue_metadata.csv,,,,,
Batman,batman_404_574,554,absent_from_sheet,,,,Batman: Cataclysm,,core,core,,https://en.wikipedia.org/wiki/Batman%3A_Cataclysm,confirmed,issue_metadata.csv,,,,,
Batman,batman_404_574,555,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,
Batman,batman_404_574,556,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,
Batman,batman_404_574,557,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,
Batman,batman_404_574,558,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,
Batman,batman_404_574,559,absent_from_sheet,,,,Road to No Man's Land,,Volume 1,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,
Batman,batman_404_574,560,absent_from_sheet,,,,Road to No Man's Land,,Volume 2,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,
Batman,batman_404_574,561,absent_from_sheet,,,,Road to No Man's Land,,Volume 2,prelude,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,
