report_id,display_name,item_type,series,issue_number,publication_id,display_title,owned,ordered,ownership_status,run_status,story_or_arc,shopping_status,shopping_priority,source,notes
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,92,,Batman: Legends of the Dark Knight #92,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,93,,Batman: Legends of the Dark Knight #93,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,94,,Batman: Legends of the Dark Knight #94,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,95,,Batman: Legends of the Dark Knight #95,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,96,,Batman: Legends of the Dark Knight #96,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,97,,Batman: Legends of the Dark Knight #97,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,98,,Batman: Legends of the Dark Knight #98,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,99,,Batman: Legends of the Dark Knight #99,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,100,,Batman: Legends of the Dark Knight #100,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,101,,Batman: Legends of the Dark Knight #101,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,102,,Batman: Legends of the Dark Knight #102,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,103,,Batman: Legends of the Dark Knight #103,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,104,,Batman: Legends of the Dark Knight #104,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,105,,Batman: Legends of the Dark Knight #105,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,106,,Batman: Legends of the Dark Knight #106,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,107,,Batman: Legends of the Dark Knight #107,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,108,,Batman: Legends of the Dark Knight #108,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,109,,Batman: Legends of the Dark Knight #109,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,110,,Batman: Legends of the Dark Knight #110,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,111,,Batman: Legends of the Dark Knight #111,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,112,,Batman: Legends of the Dark Knight #112,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
legends_of_the_dark_knight_with_annuals,Batman: Legends of the Dark Knight including Annuals,numbered_issue,Batman: Legends of the Dark Knight,113,,Batman: Legends of the Dark Knight #113,No,No,MISSING,absent_from_sheet,,BUY,,series_run_issues.csv,
